"    18,441,459,306      cpu-cycles                                                    (40.22%)","    21,760,832,695      cpu-cycles                                                    (40.35%)","    19,166,890,404      cpu-cycles                                                    (40.01%)","    20,892,586,606      cpu-cycles                                                    (40.33%)","    18,456,493,686      cpu-cycles                                                    (40.32%)","    21,378,628,652      cpu-cycles                                                    (40.31%)","    20,595,905,669      cpu-cycles                                                    (40.09%)","    18,498,131,830      cpu-cycles                                                    (40.39%)","    23,570,197,132      cpu-cycles                                                    (40.12%)","    24,466,904,105      cpu-cycles                                                    (40.00%)","    20,598,193,679      cpu-cycles                                                    (40.11%)","    26,919,973,173      cpu-cycles                                                    (40.28%)","    28,658,034,795      cpu-cycles                                                    (40.08%)","    26,290,828,466      cpu-cycles                                                    (40.19%)","    21,429,232,919      cpu-cycles                                                    (40.34%)","    26,621,435,203      cpu-cycles                                                    (40.09%)","    24,145,203,623      cpu-cycles                                                    (40.18%)","    18,472,812,895      cpu-cycles                                                    (40.38%)","    23,144,021,473      cpu-cycles                                                    (40.33%)","    23,687,055,422      cpu-cycles                                                    (40.32%)","    21,334,907,253      cpu-cycles                                                    (40.21%)"
"     1,151,586,445      branch-instructions                                           (40.34%)","     1,145,020,921      branch-instructions                                           (40.42%)","     1,159,709,136      branch-instructions                                           (40.11%)","     1,143,882,083      branch-instructions                                           (40.43%)","     1,150,468,389      branch-instructions                                           (40.40%)","     1,135,113,500      branch-instructions                                           (40.36%)","     1,159,902,748      branch-instructions                                           (40.31%)","     1,145,019,385      branch-instructions                                           (40.50%)","     1,136,783,829      branch-instructions                                           (40.21%)","     1,149,000,984      branch-instructions                                           (40.35%)","     1,150,258,836      branch-instructions                                           (40.38%)","     1,142,406,050      branch-instructions                                           (40.37%)","     1,160,550,906      branch-instructions                                           (40.26%)","     1,150,355,480      branch-instructions                                           (40.28%)","     1,148,712,562      branch-instructions                                           (40.42%)","     1,148,926,861      branch-instructions                                           (40.31%)","     1,139,693,059      branch-instructions                                           (40.23%)","     1,129,209,068      branch-instructions                                           (40.54%)","     1,148,806,723      branch-instructions                                           (40.40%)","     1,138,135,273      branch-instructions                                           (40.41%)","     1,146,761,136      branch-instructions                                           (40.28%)"
"         5,114,972      cache-misses                                                  (40.40%)","        32,052,990      cache-misses                                                  (40.16%)","         6,717,387      cache-misses                                                  (40.39%)","        25,228,245      cache-misses                                                  (40.25%)","         5,420,751      cache-misses                                                  (40.46%)","        49,587,891      cache-misses                                                  (40.11%)","        16,755,091      cache-misses                                                  (40.37%)","         5,798,662      cache-misses                                                  (40.61%)","        79,664,396      cache-misses                                                  (40.25%)","        94,974,685      cache-misses                                                  (40.43%)","        17,484,397      cache-misses                                                  (40.48%)","       133,100,034      cache-misses                                                  (40.31%)","       240,990,353      cache-misses                                                  (40.30%)","       146,213,369      cache-misses                                                  (40.36%)","        49,974,652      cache-misses                                                  (40.17%)","       178,091,384      cache-misses                                                  (40.39%)","        60,006,152      cache-misses                                                  (40.04%)","         5,160,691      cache-misses                                                  (40.43%)","       100,457,014      cache-misses                                                  (40.26%)","        86,251,701      cache-misses                                                  (40.30%)","        24,474,984      cache-misses                                                  (40.57%)"
"            18,025      page-faults                                                 ","            18,035      page-faults                                                 ","            18,044      page-faults                                                 ","            18,038      page-faults                                                 ","            18,039      page-faults                                                 ","            18,022      page-faults                                                 ","            18,019      page-faults                                                 ","            18,041      page-faults                                                 ","            18,026      page-faults                                                 ","            18,036      page-faults                                                 ","            18,046      page-faults                                                 ","            18,038      page-faults                                                 ","            18,022      page-faults                                                 ","            18,029      page-faults                                                 ","            18,013      page-faults                                                 ","            18,034      page-faults                                                 ","            18,017      page-faults                                                 ","            18,021      page-faults                                                 ","            18,018      page-faults                                                 ","            18,026      page-faults                                                 ","            18,021      page-faults                                                 "
"     2,187,993,199      L1-dcache-load-misses                                         (40.30%)","     2,214,432,674      L1-dcache-load-misses                                         (40.12%)","     2,184,736,439      L1-dcache-load-misses                                         (40.28%)","     2,198,134,060      L1-dcache-load-misses                                         (40.18%)","     2,192,002,849      L1-dcache-load-misses                                         (40.20%)","     2,208,368,030      L1-dcache-load-misses                                         (40.19%)","     2,190,902,521      L1-dcache-load-misses                                         (40.28%)","     2,186,641,098      L1-dcache-load-misses                                         (40.42%)","     2,223,477,889      L1-dcache-load-misses                                         (40.27%)","     2,219,567,641      L1-dcache-load-misses                                         (40.30%)","     2,185,598,284      L1-dcache-load-misses                                         (40.42%)","     2,222,880,942      L1-dcache-load-misses                                         (40.34%)","     2,234,891,417      L1-dcache-load-misses                                         (40.18%)","     2,214,116,608      L1-dcache-load-misses                                         (40.30%)","     2,209,925,288      L1-dcache-load-misses                                         (40.19%)","     2,229,098,526      L1-dcache-load-misses                                         (40.38%)","     2,232,493,496      L1-dcache-load-misses                                         (40.11%)","     2,186,118,627      L1-dcache-load-misses                                         (40.42%)","     2,213,757,199      L1-dcache-load-misses                                         (40.16%)","     2,208,722,892      L1-dcache-load-misses                                         (40.18%)","     2,195,851,659      L1-dcache-load-misses                                         (40.36%)"
"         3,752,423      L1-icache-load-misses                                         (40.40%)","         4,053,788      L1-icache-load-misses                                         (40.24%)","         5,703,912      L1-icache-load-misses                                         (40.22%)","         4,187,547      L1-icache-load-misses                                         (40.31%)","         3,612,186      L1-icache-load-misses                                         (40.33%)","         3,822,087      L1-icache-load-misses                                         (40.13%)","         3,908,749      L1-icache-load-misses                                         (40.10%)","         4,225,228      L1-icache-load-misses                                         (40.32%)","         3,516,541      L1-icache-load-misses                                         (40.40%)","         4,547,253      L1-icache-load-misses                                         (40.22%)","         4,636,637      L1-icache-load-misses                                         (40.22%)","         4,526,278      L1-icache-load-misses                                         (40.27%)","         3,890,554      L1-icache-load-misses                                         (40.11%)","         3,844,611      L1-icache-load-misses                                         (40.35%)","         3,964,852      L1-icache-load-misses                                         (40.24%)","         4,730,301      L1-icache-load-misses                                         (40.23%)","         3,754,487      L1-icache-load-misses                                         (40.35%)","         4,356,775      L1-icache-load-misses                                         (40.32%)","         4,046,516      L1-icache-load-misses                                         (40.07%)","         4,732,748      L1-icache-load-misses                                         (40.06%)","         3,770,899      L1-icache-load-misses                                         (40.28%)"
"           290,189      LLC-load-misses                                               (40.27%)","        15,772,000      LLC-load-misses                                               (40.07%)","           882,468      LLC-load-misses                                               (40.32%)","        13,843,152      LLC-load-misses                                               (40.10%)","           342,881      LLC-load-misses                                               (40.20%)","        25,454,492      LLC-load-misses                                               (40.19%)","         7,630,157      LLC-load-misses                                               (40.45%)","           800,782      LLC-load-misses                                               (40.35%)","        41,544,608      LLC-load-misses                                               (40.28%)","        53,687,929      LLC-load-misses                                               (40.33%)","         7,923,284      LLC-load-misses                                               (40.28%)","        87,448,704      LLC-load-misses                                               (40.17%)","       111,726,508      LLC-load-misses                                               (40.19%)","        70,951,668      LLC-load-misses                                               (40.24%)","        20,437,583      LLC-load-misses                                               (40.08%)","        86,453,542      LLC-load-misses                                               (40.19%)","        38,227,539      LLC-load-misses                                               (40.22%)","           747,303      LLC-load-misses                                               (40.10%)","        61,780,717      LLC-load-misses                                               (40.07%)","        60,318,266      LLC-load-misses                                               (40.08%)","        11,701,666      LLC-load-misses                                               (40.16%)"
"           538,841      LLC-store-misses                                              (40.12%)","           311,555      LLC-store-misses                                              (40.15%)","           544,811      LLC-store-misses                                              (40.36%)","           303,758      LLC-store-misses                                              (40.20%)","           532,108      LLC-store-misses                                              (40.19%)","           423,928      LLC-store-misses                                              (40.10%)","           562,349      LLC-store-misses                                              (40.33%)","         1,213,481      LLC-store-misses                                              (40.13%)","           919,558      LLC-store-misses                                              (40.19%)","         1,225,714      LLC-store-misses                                              (40.17%)","           617,998      LLC-store-misses                                              (40.14%)","           935,522      LLC-store-misses                                              (39.98%)","           492,839      LLC-store-misses                                              (40.20%)","           554,857      LLC-store-misses                                              (40.08%)","           278,765      LLC-store-misses                                              (40.01%)","         1,222,391      LLC-store-misses                                              (40.18%)","           489,164      LLC-store-misses                                              (40.14%)","         1,006,032      LLC-store-misses                                              (39.99%)","           295,942      LLC-store-misses                                              (40.15%)","           536,173      LLC-store-misses                                              (39.95%)","           985,214      LLC-store-misses                                              (40.17%)"
"         3,689,822      branch-load-misses                                            (40.09%)","         4,024,193      branch-load-misses                                            (40.01%)","         3,611,356      branch-load-misses                                            (40.24%)","         4,026,311      branch-load-misses                                            (40.05%)","         3,721,875      branch-load-misses                                            (40.03%)","         4,076,851      branch-load-misses                                            (40.00%)","         3,661,867      branch-load-misses                                            (40.18%)","         3,765,912      branch-load-misses                                            (39.90%)","         4,130,042      branch-load-misses                                            (40.03%)","         3,751,611      branch-load-misses                                            (40.00%)","         3,667,913      branch-load-misses                                            (39.97%)","         3,799,163      branch-load-misses                                            (39.82%)","         3,705,263      branch-load-misses                                            (40.09%)","         3,767,582      branch-load-misses                                            (39.95%)","         4,042,325      branch-load-misses                                            (40.01%)","         3,772,007      branch-load-misses                                            (40.02%)","         4,085,341      branch-load-misses                                            (40.01%)","         4,096,483      branch-load-misses                                            (39.92%)","         4,024,138      branch-load-misses                                            (40.02%)","         4,039,559      branch-load-misses                                            (39.82%)","         3,792,164      branch-load-misses                                            (40.02%)"
"         4,318,864      dTLB-load-misses                                              (39.92%)","         4,422,641      dTLB-load-misses                                              (40.13%)","         4,284,634      dTLB-load-misses                                              (40.09%)","         4,386,819      dTLB-load-misses                                              (40.09%)","         4,309,531      dTLB-load-misses                                              (39.90%)","         4,379,272      dTLB-load-misses                                              (40.27%)","         4,319,149      dTLB-load-misses                                              (40.03%)","         4,317,903      dTLB-load-misses                                              (39.73%)","         4,395,724      dTLB-load-misses                                              (39.99%)","         4,344,285      dTLB-load-misses                                              (39.83%)","         4,301,692      dTLB-load-misses                                              (40.01%)","         4,374,368      dTLB-load-misses                                              (39.90%)","         4,313,481      dTLB-load-misses                                              (39.99%)","         4,308,024      dTLB-load-misses                                              (39.97%)","         4,434,497      dTLB-load-misses                                              (40.13%)","         4,298,876      dTLB-load-misses                                              (39.87%)","         4,428,477      dTLB-load-misses                                              (40.09%)","         4,403,757      dTLB-load-misses                                              (39.91%)","         4,399,796      dTLB-load-misses                                              (40.07%)","         4,358,046      dTLB-load-misses                                              (40.20%)","         4,316,231      dTLB-load-misses                                              (39.86%)"
